,run,root,Image1,Image2,IT_root_im1,IT_root_im2,IT_im1_im2,V2_root_im1,V2_root_im2,V2_im1_im2,cat_root,cat_im1,cat_im2,concept_root,concept_im1,concept_im2,V2_im2_minus_im1,IT_im2_minus_im1,IT_most_similar,V2_most_similar,left_right,LeftIm,RightIm,IT_most_similar_lr,V2_most_similar_lr,rew_probs,block_order,sub,resp,semantic_resp,choice_rt,semantic_rt,choice,choice_bin,resp_bin,decision_dur,run_mode,root_times,choice_times,feedback_times,rew,isi_root,isi_choice,iti,bank,choice_incl_late_responses,choice_bin_incl_late_responses,resp_bin_incl_late_responses,choice_rt_incl_late_responses
21,1,219_1.jpg,219_2.jpg,219_3.jpg,0.144711935,0.394231905,0.145092109,-0.026358405,0.135837158,-0.05523355,keg,bikini,pan,container,clothing,Unclassified,0.162195563,0.24951997,im2,im2,left,219_2.jpg,219_3.jpg,right,right,0.775,V2,f01,2,2,0.5499358289998781,0.5507720999999037,Image2,1.0,0.0,0.75,behavior,356.78313927800014,364.80000581600007,372.5664729790001,1.0,6,7,5,11,Image2,1.0,0.0,0.5499358289998781
22,1,131_1.jpg,131_2.jpg,131_3.jpg,-0.081453463,0.412513552,0.127352895,0.069299103,0.043339792,0.032875428,cantaloupe,backpack,gingerbread_man,fruit,container,Unclassified,-0.025959311000000002,0.493967015,im2,im1,left,131_2.jpg,131_3.jpg,right,left,0.775,V2,f01,2,1,0.31826828399994156,0.49455157499983216,Image2,1.0,0.0,0.75,behavior,378.5833759950001,385.5997195330001,389.366676502,0.0,5,3,3,11,Image2,1.0,0.0,0.31826828399994156
23,1,68_1.jpg,68_2.jpg,68_3.jpg,-0.197698354,0.658772595,-0.19082229,0.001375179,0.135282312,0.04811133099999999,combination_lock,hyena,measuring_cup,Unclassified,animal,container,0.13390713299999998,0.8564709490000001,im2,im2,right,68_3.jpg,68_2.jpg,left,left,0.775,V2,f01,1,2,0.405892687000005,0.6628173300000526,Image2,1.0,1.0,0.75,behavior,393.38313529800007,402.40008258500006,408.1664480490001,1.0,7,5,5,11,Image2,1.0,1.0,0.405892687000005
24,1,103_1.jpg,103_2.jpg,103_3.jpg,-0.25961382899999996,-0.132195209,0.46479054,0.08852931800000001,0.016339633,0.020880946,apple_tree,keyboard,blindfold,plant,Unclassified,Unclassified,-0.072189685,0.12741862,im2,im1,right,103_3.jpg,103_2.jpg,left,right,0.775,V2,f01,1,1,0.5821378719999757,0.5745595819998925,Image2,1.0,1.0,0.75,behavior,414.1833742850001,422.1997955040001,426.966774923,0.0,6,4,4,11,Image2,1.0,1.0,0.5821378719999757
25,2,254_1.jpg,254_2.jpg,254_3.jpg,-0.09741421800000001,0.6376924860000001,-0.161188764,0.052919874000000006,0.142204416,0.08521014699999999,sundial,caterpillar,birdbath,Unclassified,animal,container,0.089284542,0.7351067039999999,im2,im2,right,254_3.jpg,254_2.jpg,left,left,0.65,IT,f01,1,2,0.688131782000255,0.6090727060000063,Image2,1.0,1.0,0.75,behavior,1.0166532029998052,5.03308329399988,7.799551359999896,0.0,2,2,2,12,Image2,1.0,1.0,0.688131782000255
26,2,56_1.jpg,56_2.jpg,56_3.jpg,-0.193785254,0.532713526,-0.20278267100000003,0.13136093699999998,0.009871197,0.025994927999999997,cart,ant,pulley,container,animal,Unclassified,-0.12148974,0.72649878,im2,im1,left,56_2.jpg,56_3.jpg,right,left,0.65,IT,f01,1,2,0.3203635499999109,0.5609545819997948,Image1,0.0,1.0,0.75,behavior,10.816722674000175,19.83311520899997,24.600268097000026,0.0,7,4,3,12,Image1,0.0,1.0,0.3203635499999109
27,2,111_1.jpg,111_2.jpg,111_3.jpg,0.162349609,0.40752009299999997,0.117008238,0.041010708,0.06331429400000001,0.042368456,guitar,fossil,pumpkin,musical instrument,Unclassified,vegetable,0.022303585999999997,0.245170484,im2,im2,right,111_3.jpg,111_2.jpg,left,left,0.65,IT,f01,1,2,0.48791507100031595,0.6573353610001504,Image2,1.0,1.0,0.75,behavior,28.616231271999823,32.63334077399986,39.399696908999886,1.0,2,6,6,12,Image2,1.0,1.0,0.48791507100031595
28,2,105_1.jpg,105_2.jpg,105_3.jpg,0.255740213,0.383517492,0.274794765,0.111534107,0.021483966,0.031470812,badge,gate,filing_cabinet,Unclassified,Unclassified,furniture,-0.090050141,0.12777727900000002,im2,im1,left,105_2.jpg,105_3.jpg,right,left,0.65,IT,f01,2,2,0.44044078599972636,0.6736557690001064,Image2,1.0,0.0,0.75,behavior,46.415936257999874,51.43319074100009,59.20027866200007,1.0,3,7,4,12,Image2,1.0,0.0,0.44044078599972636
29,2,225_1.jpg,225_2.jpg,225_3.jpg,-0.109206676,0.259552779,-0.15960286699999998,-0.02427239,0.073151085,0.024947451000000002,asparagus,icicle,coffee_table,vegetable,Unclassified,furniture,0.097423475,0.368759455,im2,im2,right,225_3.jpg,225_2.jpg,left,left,0.65,IT,f01,1,1,0.440567204999752,0.4726480999997875,Image2,1.0,1.0,0.75,behavior,64.21652440900016,71.2327361900002,79.00020597899993,0.0,5,7,4,12,Image2,1.0,1.0,0.440567204999752
30,2,23_1.jpg,23_2.jpg,23_3.jpg,0.133512568,0.49827417799999996,0.31579533600000004,0.038027225,0.107706972,0.117776169,riser,shower_cap,bongo,Unclassified,clothing,musical instrument,0.069679747,0.36476161,im2,im2,right,23_3.jpg,23_2.jpg,left,left,0.65,IT,f01,2,2,0.5119733820001784,0.6735084169999936,Image1,0.0,0.0,0.75,behavior,84.01615729200012,90.03360622199989,93.79969754400008,0.0,4,3,6,12,Image1,0.0,0.0,0.5119733820001784
31,2,232_1.jpg,232_2.jpg,232_3.jpg,-0.020274958,0.47216247100000003,-0.05036633099999999,0.069254151,0.021897015,0.072595018,candlestick,cougar,chalk,Unclassified,animal,Unclassified,-0.047357135999999994,0.492437429,im2,im1,left,232_2.jpg,232_3.jpg,right,left,0.65,IT,f01,1,2,0.4882535829997323,0.6163329179998982,Image1,0.0,1.0,0.75,behavior,100.81689145300015,108.83299092800007,114.600533112,1.0,6,5,5,12,Image1,0.0,1.0,0.4882535829997323
32,2,260_1.jpg,260_2.jpg,260_3.jpg,-0.368966655,0.481178647,-0.24720705399999998,0.036634446,0.02010282,0.08421862199999999,lunchbox,alligator,fountain_pen,Unclassified,animal,Unclassified,-0.016531626,0.850145302,im2,im1,left,260_2.jpg,260_3.jpg,right,left,0.65,IT,f01,1,2,0.6402835159997267,0.5209608119998848,Image1,0.0,1.0,0.75,behavior,120.61668285699989,128.63301084800014,132.40010263700015,0.0,6,3,5,12,Image1,0.0,1.0,0.6402835159997267
33,2,276_1.jpg,276_2.jpg,276_3.jpg,-0.16978791399999998,0.802101465,-0.190073779,0.033322243,0.14464613699999998,0.029882798,skull,gurney,skull,body part,Unclassified,body part,0.111323894,0.971889379,im2,im2,right,276_3.jpg,276_2.jpg,left,left,0.65,IT,f01,1,2,0.4726528490000419,0.5851952480002183,Image2,1.0,1.0,0.75,behavior,138.41648086799978,144.43262105699978,150.19997461599996,1.0,4,5,4,12,Image2,1.0,1.0,0.4726528490000419
